participant_id,modality,code
P004,AR,AR01
P028,AR,AR01
P029,AR,AR01
P041,AR,AR01
P054,AR,AR01
P056,AR,AR01
P073,AR,AR01
P074,AR,AR01
P075,AR,AR01
P083,AR,AR01
P084,AR,AR01
P090,AR,AR01
P092,AR,AR01
P093,AR,AR01
P099,AR,AR01
P101,AR,AR01
P108,AR,AR01
P124,AR,AR01
P029,AR,AR02
P056,AR,AR02
P063,AR,AR02
P084,AR,AR02
P092,AR,AR02
P097,AR,AR02
P105,AR,AR02
P124,AR,AR02
P056,AR,AR03
P073,AR,AR03
P077,AR,AR03
P090,AR,AR03
P108,AR,AR03
P117,AR,AR03
P009,Voice,VO01
P026,Voice,VO01
P063,Voice,VO01
P117,Voice,VO01
P048,Voice,VO02
P063,Voice,VO02
P073,Voice,VO02
P090,Voice,VO02
P010,Voice,VO03
P048,Voice,VO03
P049,Voice,VO03
P073,Voice,VO03
P079,Voice,VO03
P122,Voice,VO03
P025,Gesture,GE01
P029,Gesture,GE01
P054,Gesture,GE01
P071,Gesture,GE01
P077,Gesture,GE01
P097,Gesture,GE01
P102,Gesture,GE01
P105,Gesture,GE01
P084,Gesture,GE02
P097,Gesture,GE02
P117,Gesture,GE02
