participant_id,modality,response_language,response_text
P004,AR,pt,"Em vez de usar um semáforo tradicional com luzes vermelha e verde, seria mais intuitivo utilizar um semáforo específico para pedestres, como os que vemos no dia a dia. Ou seja, incluir o ícone de um bonequinho parado no vermelho e caminhando no verde. Isso evitaria confusão, pois ao ver um semáforo comum, a primeira associação natural é que o veículo deve parar, e não que o pedestre é quem deve aguardar."
P010,AR,pt,"Penso que existe aqui uma questão que não está a ser tratada. Por exemplo, quando vamos numa passadeira existem diferentes pontos a ter em consideração, o barulho, e o abrandamento. Por vezes não é preciso a questão de visualização. Se sentirmos que o veículo por alguma razão abranda, percebemos quase que ele nos está a ver... Existirá algum comportamento do veículo autónomo neste sentido? Será igual entre veículos autónomos, ou entre VA e VRU? Porque não também dar uma percepção do lado do carro que o condutor está a ser percepcionado, em vez de uma acção sobre o condutor. Ou seja, porque não dar mais informação ao VRU, do que simplesmente uma ""acção"" como se o humano fosse uma máquina, quando não é. O ser humano será sempre um agente complexo :)"
P025,AR,pt,"O design de cedência de passagem não parece muito intuitivo na minha opinião, porque não só o aviso é pouco apelativo (não tem grande destaque, i.e. podia ser verde ou outra cor que se destacasse tanto mas que não simbolize perigo, como o vermelho), como a pessoa pode não saber para que lugar serve o aviso (como estar no meio de duas estradas paralelas, e o aviso ser por exemplo da que está atrás dela e não da que está à sua frente), ou seja, um indicador que mostre para onde e/ou quais veículos estão a ceder passagem, para não induzir em erro"
P026,AR,pt,Interface com indicação de movimento tornam as mensagens mais realistas: o fato de ter RA e permitir ter indicações não estáticas pode dar muito mais informação.
P028,AR,pt,"Para as melhores interfaces são a primeira e a segunda, pois são bem clara enquanto que as interfaces dos semáforos podem ser confusas, já que o peão pode confundir para que é o semáforo se é para si ou se é para o carro."
P029,AR,pt,Roda a passadeira 90°. Usa os semáforos com o sinal de peão.
P037,AR,pt,"Secalhar o carro quando não quer ceder passagem, emitir um som baixo mas audivel para o pião não se meter a estrada livremente, porque essas opções podem dar liberdade a isso. Se o pião estiver distraído será avisado com o ruído"
P041,AR,pt,"Nos sinais do semáforo, meter o desenho dos semáforos de peões"
P049,AR,en,"We have to consider the type of uv. In the case presented was all about terrestrial. In that sense the concept of operation has to be defined i.e for passenger or goods, advertising etc. This definition can help on the user experience and by limit the correct approch of information."
P054,AR,pt,"Considerei contra-intuitivos os designs que utilizavam os semáforos para indicar a intenção do condutor, uma vez que estão no formato de semáforos utilizados para veículos e poderão levar à confusão sobre as intenções do veículo. A utilização dos semáforos próprios para peões resolveria esse problema. Os outros designs são mais intuitivos, e acho que poderia ser reforçado o uso de cores para uma experiência mais intuitiva (vermelho para perigo/parar e verde para seguro/avançar)."
P056,AR,pt,"Relativamente aos cenários em que o peão pode atravessar a estrada em segurança, penso que ficaria sempre mais claro adicionar uma passadeira (mas onde os traços brancos se posicionam horizontalmente em relação à posição do peão - no exemplo mostrado, paracem estar na direção vertical). Em relação aos semáforos, acho que ficariam melhor as versões para peões, dado que as apresentadas (para veículos, com a luz amarela) pode induzir o peão a erro, fazendo-o pensar que o semáforo é para o carro. Por último, e que tal tentar uniformizar ao máximo estes indicadores, de modo a manter-se parecido com a realidade (favorecendo a intuição), e a mostrar também indicadores adicionais para melhor entendimento do que está a acontecer por parte do peão? Por exemplo, quando o peão pode atravessar em segurança, aparece uma passadeira, um semáforo para peões verde e a intenção do veículo de ceder a passagem. Quando o peão não pode avançar, aparece o semáforo vermelho, sem passadeira e com o indicador no veículo com a intenção de avançar, seja com o STOP ou a seta (penso que o STOP é mais claro)."
P062,AR,pt,Por cor mais chamativas e fluorescentes para não confundir com o ambiente
P063,AR,pt,"O uso de sinais é suficiente para se entender, além de ser visualmente mais significativo do que uso de palavras. Os sinais devem ser coloridos ( p.ex, cedência de passagem ), para que o tempo de reação seja mais rápido por reconhecimento. A passadeira não é tão claro assim, devia haver um outro método para demonstrar a zona livre de passagem ( talvez o melhor seria colocar uma zona que percorra a área da estrada toda livre, além de utilizar uma cor verde seria mais apelativo; o sentido da passadeira fica estranho )"
P073,AR,pt,Se os semáforos tiverem o símbolo de semáforos de peões seria bastante claro. A seta direcional devia vir acompanhada com um texto a dizer que o veículo quer prosseguir.
P074,AR,pt,"No Design: ""Semáforo Vermelho""/""Semáforo Verde"" seria mais intuitivo para o utilizador caso a fosse utilizado um sinal idêntico que temos nas passadeiras, ou seja, de um boneco com a correspondente luz. Se estivesse luz verde, o boneco até se podia mexer, aludindo ao ato de caminhar."
P075,AR,pt,"Os semáforos vermelho e verde, devem ter um peão para sinalizar que são os peões que devem avançar. Alerta de veículo a aproximar-se deve informar qual a distância que se encontra o veículo. Alerta de cedência de passagem deve informar se o veículo está mesmo parado. Passadeira projectada deve informar se não há nenhum perigo para atravessar ou comunicar ao veículo que o peão vai atravessar."
P077,AR,pt,"A seta direcional não parece ser muito intuitiva, parece apenas uma seta que indica a direção do movimento, e não que o veículo vai prosseguir e não dar passagem. Seria relativamente claro caso fosse explicado anteriormente o intuito da seta, mas caso este não seja explicado, não é intuitivo. A seta direcional poderia ser utilizada em conjunto com o alerta de veículo a aproximar-se, por exemplo, de modo a tornar-se 100% claro que o veículo vai prosseguir."
P083,AR,pt,"Acho que se as imagens com os semáforos são intuitivas mas talvez o semáforo pudesse ter o símbolo de um peão visto que nós estamos habituados a que tenha esse símbolo quando vamos atravessar a passadeira. Parece que os semáforos que estão nas imagens são para o carro e não para o peão, talvez ficasse mais intuitivo."
P084,AR,en,The traffic lights might be confusing because they look like traffic lights meant for cars. Maybe use pedestrian traffic lights? The crosswalk feels like it is a crosswalk for cars because of its position.
P090,AR,pt,"Os semáforos podem induzir em erro, visto q podem ser para o peão ou para o veículo, se nas luzes do semáforo tiver um símbolo de peão ou alguma coisa escrita torna se mais claro, a seta acho que não é ideal, considerando que existe a opção do stop. Acho que podia haver uma interface para permitir o peão passar igual à do stop em que estivesse escrito ""Safe to cross""."
P092,AR,en,i don't think that traffic lights informing if the pedestrian must stop or go are the more intuitive approach. I would rather have a projected crosswalk that changes color informing the status of crosswalk.
