outcome,group_a,group_b,n_a,n_b,median_a,median_b,mann_whitney_u,p_raw,cliffs_delta_a_gt_b,p_holm_within_outcome,significant_holm_0.05
AR clarity,18-24,25-34,94,12,5.333333333333333,4.5,858.0,0.003371609821170172,0.5212765957446808,0.017688870411554758,True
AR clarity,18-24,35-44,94,6,5.333333333333333,3.9166666666666665,421.5,0.04328928130407078,0.49468085106382986,0.12986784391221234,False
AR clarity,18-24,44-54,94,10,5.333333333333333,5.833333333333333,310.5,0.07903009578588086,-0.3393617021276596,0.1580601915717617,False
AR clarity,25-34,35-44,12,6,4.5,3.9166666666666665,42.0,0.6053485281123079,0.16666666666666674,0.6053485281123079,False
AR clarity,25-34,44-54,12,10,4.5,5.833333333333333,14.5,0.0029481450685924595,-0.7583333333333333,0.017688870411554758,True
AR clarity,35-44,44-54,6,10,3.9166666666666665,5.833333333333333,9.5,0.0293362117366641,-0.6833333333333333,0.1173448469466564,False
Voice applicability,18-24,25-34,94,12,5.6,3.9,842.0,0.005510458138274941,0.4929078014184398,0.033062748829649644,True
Voice applicability,18-24,35-44,94,6,5.6,2.7,443.5,0.019063784099749754,0.572695035460993,0.09531892049874877,False
Voice applicability,18-24,44-54,94,10,5.6,5.4,427.0,0.6383812116598757,-0.09148936170212763,0.900334586952706,False
Voice applicability,25-34,35-44,12,6,3.9,2.7,44.5,0.450167293476353,0.23611111111111116,0.900334586952706,False
Voice applicability,25-34,44-54,12,10,3.9,5.4,27.0,0.03162944605801713,-0.55,0.12651778423206853,False
Voice applicability,35-44,44-54,6,10,2.7,5.4,13.5,0.0810814101066864,-0.55,0.2432442303200592,False
Gesture applicability,18-24,25-34,94,12,5.222222222222222,4.166666666666667,803.5,0.017067189474371663,0.42464539007092195,0.08533594737185832,False
Gesture applicability,18-24,35-44,94,6,5.222222222222222,2.2222222222222223,469.5,0.006592515640326005,0.6648936170212767,0.03955509384195603,True
Gesture applicability,18-24,44-54,94,10,5.222222222222222,4.833333333333334,550.0,0.3802549827632379,0.17021276595744683,0.7605099655264758,False
Gesture applicability,25-34,35-44,12,6,4.166666666666667,2.2222222222222223,49.0,0.24024535792166324,0.36111111111111116,0.7207360737649897,False
Gesture applicability,25-34,44-54,12,10,4.166666666666667,4.833333333333334,49.5,0.5091727317373637,-0.17500000000000004,0.7605099655264758,False
Gesture applicability,35-44,44-54,6,10,2.2222222222222223,4.833333333333334,14.5,0.10297912506784193,-0.5166666666666666,0.4119165002713677,False
