family,item_id,item,n,mean,sd,median,q1,q3,positive_pct_ge_5
AR clarity,I1,Yielding to Cross,124,4.685483870967742,1.3989946185840638,5.0,4.0,6.0,63.70967741935484
AR clarity,I2,Vehicle Approaching,124,5.701612903225806,1.3189046866681002,6.0,5.0,7.0,83.87096774193549
AR clarity,I3,Directional Arrow,124,5.733870967741935,1.1413077007398842,6.0,5.0,7.0,87.09677419354838
AR clarity,I4,Green Traffic Light,124,4.975806451612903,1.689102853599904,5.0,3.0,6.0,66.12903225806451
AR clarity,I5,Red Traffic Light,124,5.0,1.6379642332078845,5.0,3.75,6.0,66.12903225806451
AR clarity,I6,Projected Crosswalk,124,5.274193548387097,1.4501960040075061,6.0,5.0,6.0,75.80645161290323
Voice applicability,C1,Stop,124,5.201612903225806,1.6673811738829083,6.0,5.0,6.0,77.41935483870968
Voice applicability,C2,Proceed,124,5.0,1.6429202633937896,5.0,4.0,6.0,72.58064516129032
Voice applicability,C3,Avoid Obstacle,124,4.298387096774194,1.6229043457962982,5.0,3.0,5.0,53.2258064516129
Voice applicability,C4,Slow Down,124,5.266129032258065,1.6033951324283704,6.0,5.0,6.0,79.83870967741935
Voice applicability,C5,Wait for Pedestrians,124,4.717741935483871,1.7463573418351666,5.0,3.0,6.0,63.70967741935484
Gesture applicability,G1,Avoid Obstacle,124,3.620967741935484,1.7136123682281397,4.0,2.0,5.0,38.70967741935484
Gesture applicability,G2,Emergency Stop,124,5.540322580645161,1.7174342441271524,6.0,5.0,7.0,81.45161290322581
Gesture applicability,G3,Follow Me,123,4.59349593495935,1.8635300468838913,5.0,3.0,6.0,60.16260162601627
Gesture applicability,G4,Go Back,124,4.024193548387097,1.8455118472918628,4.0,2.0,5.0,48.38709677419355
Gesture applicability,G5,T-Pose,124,5.008064516129032,1.7084008961072599,5.0,4.0,6.0,73.38709677419355
Gesture applicability,G6,Proceed,124,5.395161290322581,1.7099353308129956,6.0,5.0,7.0,80.64516129032258
Gesture applicability,G7,Slow Down,124,4.524193548387097,1.6697388417452699,5.0,3.0,6.0,63.70967741935484
Gesture applicability,G8,Stop,124,5.870967741935484,1.6721912109879746,7.0,6.0,7.0,85.48387096774194
Gesture applicability,G9,Wait for Pedestrians,124,3.6774193548387095,1.727578252774601,3.5,2.0,5.0,38.70967741935484
